0	1
title	[]
[연희동] 더니커피 - 카페 천국이 된 연희동 골목에서 5년 넘게 자리를 굳건히 지킬 수 있는 이유	['안녕하다', '낙타', '로드', '이다', '오늘', '연희동', '위치', '더니', '커피', '더니', '커피', '연희동', '쇼핑', '센터', '골목', '안쪽', '있다', '매장', '직접', '로스팅', '작다', '로스', '터리', '카페', '네이버', '지도', '더니', '커피', '로', '길다', '약간', '헷갈리다', '수', '있다', '같다', '건물', '카페', '몇', '개', '있다', '지도', '표시', '장소', '다른', '카페', '있다', '그', '쪽', '안쪽', '골목', '꺽', '오늘', '목적지', '더니', '커피', '를', '수', '있다', '주택가', '사이', '수줍다', '카페', '발견', '바로', '거기', '더니', '커피', '매장', '내부', '작고', '아담하다', '편입', '니', '안쪽', '명', '수', '있다', '바', '테이블', '있다', '문', '쪽', '수', '있다', '테이블', '마련', '통창', '가득', '햇살', '보기', '만해', '좋다', '공간', '협', '소한', '것', '테이블', '알차다', '바', '자리', '좋다', '이렇다', '테이블', '좋다', '카페', '공간', '자체', '상당하다', '작고', '미니', '멀다', '그', '공간', '아름답다', '음악', '가득', '매장', '에스프레소', '머신', '커피', '그라인더', '커피', '로스', '터', '머신', '자리', '잡고', '있다', '작다', '공간', '아담하다', '색깔', '공간', '것', '같다', '무엇', '더니', '커피', '의', '마스코트', '가게', '안', '자리', '똥꼬', '발랄하다', '댕댕', '이다', '워낙', '순하다', '사람', '따라서', '손님', '좋아하다', '더니', '커피', '메뉴', '종류', '무척', '심플', '기본', '커피', '메뉴', '비롯', '몇', '개', '처', '메뉴', '논', '커피', '메뉴', '준비', '반대', '필터', '커피', '종류', '가지', '꽤', '많다', '리스트', '군침', '도', '원두', '여럿', '있다', '저', '일단', '콜롬비아', '엘', '오브', '제', '게이샤', '필터', '커피', '주문', '오늘', '위', '가지', '원두', '보지', '아쉽다', '디저트', '레몬', '파운드', '케이크', '주문', '젠', '디저트', '주문', '조금', '허전하다', '마음', '잠시', '후', '콜롬비아', '필터', '커피', '리기', '시작', '콜롬비아', '엘', '오브', '제', '게이샤', '필터', '커피', '산딸기', '같다', '콤', '달콤하다', '맛', '로럴', '향', '미가', '진하다', '은은하다', '레몬', '계열', '산미', '꿀물', '같다', '단맛', '개인', '커피', '맛', '향', '변하다', '모습', '재미', '쏠쏠하다', '생각', '어떻다', '변하다', '얼마나', '유지', '것', '같다', '그렇다', '측면', '오늘', '콜롬비아', '톤', '변하다', '끝', '유지', '깔끔하다', '끝맛', '또한', '무척', '훌륭하다', '파운드', '케이크', '이다', '사실', '이름', '무슨', '맛', '막상', '보', '레몬', '향', '가득하다', '달콤하다', '청량하다', '맛', '마음', '레몬', '파운드', '케이크', '식감', '자체', '부드럽다', '촉촉하다', '겉', '소보로빵', '처럼', '바삭', '식', '매력', '이예', '커피', '맛있다', '파운드', '케이크', '맛있다', '수', '없다', '고민', '바로', '카페라떼', '추가', '주문', '카페라떼', '에티오피아', '네추럴', '싱글', '오리진', '원두', '에스프레소', '라떼', '뽀얗다', '국밥', '같다', '색깔', '눈', '카페라떼', '첫', '인상', '고소하다', '견과류', '향', '진하다', '석류', '같다', '향', '은은하다', '사탕수수', '같다', '단맛', '커피', '입', '안', '먹음', '있다', '갓', '운', '빵', '같다', '구수하다', '향', '은은하다', '커피', '입', '속', '맴도', '허브', '계열', '향', '좋다', '더니', '커피', '재생', '좋다', '접기', '연희동', '더니', '커피', '카페', '천국', '연희동', '골목', '같다', '자리', '굳다', '있다', '수', '있다', '이유', '맛있다', '커피', '있다', '생각', '더니', '커피', '맛있다', '커피', '디저트', '차분하다', '분위기', '따뜻하다', '햇살', '모두', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약']
[연희동 카페/최애카페]앓고 앓았던 라떼 맛집 더니커피+고곰이	['더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약', '원래', '이번', '주말', '계획', '등산', '장마', '인하다', '등산', '취소', '우리', '최애', '카페', '더니', '커피', '원래', '장미', '철', '공식', '루트', '그때', '바쁘다', '이제', '더니', '커피', '최애', '카페', '안산', '연희동', '멀다', '자주', '연남', '카페', '연희', '카페', '연희동', '커피', '맛', '더니', '커피', '인생', '커피', '연희동', '더니', '커피', '영업', '시간', '화', '목', '금', '토', '일', '인스타', '좋아하다', '카페', '포스팅', '완', '연희동', '더니', '카페', '주소', '서울', '서대문구', '연희', '길', '전화번호', '영업', '시간', '월', '화', '휴무', '인스타', '더니', '커피', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '더니', '커피', '님', '사진', '및', '동영상', '보기', '스토어', '더니', '커피', '네이버', '쇼핑', '스마트', '스토어', '다양하다', '스페셜', '티', '커피', '소개', '마이크로', '로스', '터리', '커피', '맛집', '나', '더니', '커피', '아이스', '라떼', '좋아하다', '여기', '정말', '연남동', '있다', '때', '부터', '봄', '연희동', '한지', '꽤', '좋아하다', '카페인', '것', '더니', '커피', '커피', '맛있다', '카페', '드립', '커피', '유명하다', '나', '라떼', '아파트먼트', '원두', '사용', '하나', '봄', '초코', '칩', '쿠키', '맛있다', '더니', '커피', '디저트', '매번', '인스타', '확인', '야하다', '나', '더니', '커피', '최애', '픽', '아이스', '라떼', '주문', '아이스', '라떼', '당근', '치즈케이크', '주문', '여기', '라떼', '맛있다', '친구', '커피', '케이크', '아주', '또', '최애', '카페', '커피', '잔', '국룰', '드립커피', '유명하다', '드립커피', '주문', '드립커피', '사장', '추천', '고소하다', '드립커피', '주문', '친구', '먹기', '위해', '잔', '카인', '드', '더니', '커피', '카페라떼', '더더', '더', '곰', '작년', '포스팅', '귀엽다', '곰', '사진', '많다', '더', '귀엽다', '매장', '앞', '오토바이', '흡연', '향', '왈왈', '귀엽다', '저', '꽁치', '인형', '작년', '있다', '올해', '있다', '귀엽다', '오토바이', '어디', '선', '꽁치', '인형', '물', '그게', '진짜', '왕왕', '움', '왜', '물', '곰', '귀엽다', '곰', '친구', '커피', '맛있다', '곰', '힐링', '카페', '홍대', '연남', '연희', '가면', '내', '꼭꼭', '커피', '박사', '픽', '알', '더니', '커피', '라떼', '좋아하다', '아주', '추천', '또', '또']
230915 주4일제는 우리의 희망 (연희동 더니커피, 토마스 커피랩 커핑 중급)	['단체', '연차', '보건', '휴가', '추석', '연휴', '덕분', '반', '이상', '주', '체험', '중', '심지어', '마지막', '주', '것', '진정하다', '인류', '노동', '미래', '아니다', '이번', '주', '휴무', '탕', '재밌다', '전', '복기', '지난주', '즐겁다', '휴무', '기록', '토마스', '커피', '랩', '중', '커핑', '토마스', '커피', '랩', '서울특별시', '마포구', '신촌로', '길', '층', '선생님', '코로나', '확진', '커핑', '수업', '마지막', '회차', '수엄', '시작', '톤', '아로마', '키트', '향', '뭐', '것임', '이번', '어렵다', '답', '보', '것', '인정', '블랙베리', '블루베리', '블랙', '런트', '동시', '출제', '악마', '것', '물', '산', '테스트', '컵', '산미', '강도', '구별', '줄', '산', '종류', '오늘', '산미', '강도', '종류', '고민', '끝', '틀림', '까비', '대충', '말릭', '이제', '구별', '수', '있다', '것', '같다', '마지막', '테스트', '트라이앵글', '테스트', '세', '컵', '중', '다른', '원두', '컵', '거', '문제', '중', '쉽다', '하나', '정말', '뉘앙스', '비슷하다', '헷갈리다', '일부러', '하나', '어렵다', '출제', '긴가민가하다', '애프터', '테', '이스트', '미묘하다', '다른', '하나', '여태껏', '커피', '값', '허투루쓰', '사실', '아주', '뿌듯하다', '생', '감별', '사', '이렇다', '트라이앵글', '산미', '감별', '야하다', '이렇다', '서리', '영역', '훈련', '신기하다', '저', '계속', '취미', '수업', '쯤', '마치', '맛있다', '점심', '카페', '마음', '계속', '눈', '무화과', '케이크', '고로', '평일', '조금', '짧다', '을밀대', '냉면', '비로소', '커피', '초록', '초록', '함', '최적', '코스', '위해', '전날', '고민', '연희동', '더니', '커피', '과테말라', '엘', '인', '헤르', '토', '농장', '로스', '피', '노스', '레전더', '리', '게이샤', '옥션랏', '판다', '소식', '보고', '근처', '샌드위치', '카페', '폴앤폴', '리나', '빵', '완벽하다', '계획', '날', '확실하다', '실패', '맛있다', '커피', '연희동', '더니', '커피', '맛있다', '커피', '귀엽다', '강아지', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약', '과연', '옳다', '선택', '인', '헤르', '토', '농장', '커피', '뭐', '실패', '항상', '맛있다', '힘', '있다', '쫀쫀', '바디', '감', '입', '꽉', '단', '맛', '동시', '섬세하다', '여운', '입', '촤르르', '비단', '소매', '끝', '하늘하늘하다', '레이스', '느낌', '랄', '모금', '맛있다', '일기장', '기록', '가끔', '이렇다', '천상계', '커피', '거', '내', '확실하다', '좋아하다', '것', '같다', '커피', '만끽', '있다', '발치', '귀엽다', '곰', '저', '장난감', '물', '발치', '던데', '달라', '거', '개', '사람', '어찌', '소심하다', '보디', '그냥', '못', '척', '스토리', '커피', '사진', '커피', '덕후', '임', '사장', '즐겁다', '커피', '대화', '또', '갑자기', '서비스', '가향', '느낌', '낭낭', '사장', '취향', '아니다', '같다', '커피', '던데', '알', '손님', '일본여행', '함', '요란하다', '패키지', '내', '선입견', '생각', '깔끔하다', '마시기', '나쁘다', '요즘', '점점', '순정', '게이샤', '커피', '제일', '좋다', '특이하다', '가향', '발효', '인', '퓨즈', '드', '커피', '있다', '도장', '시절', '있다', '약간', '이제', '역시', '튜닝', '끝', '순정', '끝', '묘', '민트', '같다', '화하다', '느낌', '목구멍', '후미', '화하다', '느낌', '있다', '그거', '역류성', '식도염', '초기', '증상', '것', '같다', '폴앤폴', '리나', '식사', '빵', '야무지다', '사고', '친절하다', '뺑오', '쇼콜라', '시식', '입', '그것', '요', '파사', '삭', '가볍다', '겹겹', '레이어', '거부', '수', '없다', '시즌', '한정', '판매', '제품', '메밀', '빵', '시식', '뭐', '거', '메밀', '향', '구수하다', '나', '빵', '가을', '달리기', '아침', '뽈뽈', '댕', '급', '피곤하다', '좀', '거', '낮잠', '시간', '자', '저녁', '눈', '갑자기', '휴일', '감기', '기분', '억울하다', '한강', '종일', '비', '소식', '있다', '다행하다', '오후', '이슬비', '살짝', '다가', '나', '달리기', '그렇다', '봄', '습하다', '좀', '힘들다', '매일', '오묘하다', '빛깔', '하늘', '운동', '보상', '심리', '뭔가', '근사하다', '맛있다', '고등어', '봉', '초밥', '배달', '오프라인', '매장', '있다', '평', '좋다', '아주', '만족', '알차다', '호사', '하루', '마무리', '적절하다', '점심', '샌드위치', '전', '궁금하다', '곳', '맛없다', '건', '아니다', '대치', '가격', '대비', '조금', '아쉽다', '또', '알차다', '절거운', '하루', '하루', '이틀', '더', '논다니', '행복하다', '이', '바로']
연희동 더니커피 디저트 팝업 22.4.10	['연희동', '더니', '커피', '디저트', '팝업', '연희동', '더니', '커피', '디저트', '팝업', '일요일', '아침', '부지런하다', '연희동', '향', '예전', '더니', '커피', '일', '가은', '디저트', '팝업', '일찍', '도착', '오늘', '디저트', '이렇다', '팝업', '메뉴판', '출력', '깜빡', '노트', '손글씨', '더니', '마스코트', '곰', '스티커', '덤', '이다', '저', '메뉴', '전부', '주문', '상차림', '왼쪽', '피스타치오', '프레지', '호', '차', '군밤', '파운드', '휘', '낭시', '레트', '브루', '통', '이다', '비주', '예쁘다', '맛', '있다', '디저트', '사람', '비주', '얼', '이다', '으쌰', '가은', '만', '더니', '커피', '호흡', '손님', '오신', '더니', '사장', '정말', '맛있다', '게샤빌리', '커피', '정말', '맛있다', '역시', '더니', '커피', '만', '연희동', '평화롭다', '일요일', '시작', '맛있다', '커피', '연희동', '더니', '커피', '방문', '좋다', '같다', '평소', '디저트', '갸또', '제공', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약']
[서울/연희동] 더니커피 (Dawny Coffee)	['컬러드', '빈', '즐겁다', '시간', '곳', '더', '더니', '커피', '최근', '여러', '커뮤니티', '이름', '있다', '곳', '얼마', '전', '방', '현영', '바리스타', '콜라보', '행사', '진행', '것', '같다', '아담하다', '내부', '평정', '따뜻하다', '색감', '메뉴', '에스프레소', '베버', '리지', '심플', '편이', '필터', '커피', '종류', '꽤', '구성', '알차다', '논', '커피', '티', '크림', '말차', '있다', '디저트', '갸또', '준비', '주기', '별로', '변경', '듯', '에스프레소', '장비', '라마르', '꼬', '리', '미니', '말코닉', '피크', '그라인더', '사용', '작다', '사이즈', '로스', '터', '사용', '계시다', '브랜드', '로스', '터리', '인증샷', '메뉴', '에티오피아', '게샤빌리', '수르', '마', '게샤', '허니', '따뜻하다', '부탁드리다', '자스민', '베르가', '못', '백차', '향', '함', '성하다', '금귤', '오렌지', '제스', '트', '같다', '상큼', '향', '있다', '케인', '슈가', '단맛', '쥬시', '질감', '클린', '컵', '아주', '훌륭하다', '커피', '게샤빌리', '커피', '생각', '경우', '많다', '반신반의', '만', '맛있다', '게샤빌리', '커피', '생각', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약', '더니', '커피', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '더니', '커피', '님', '사진', '및', '동영상', '보기', '더니', '커피', '화', '목', '금', '토', '일', '월', '수요일', '휴무', '처음', '사장', '무뚝뚝하다', '스타일', '얼른', '커피', '갑자기', '커피한잔', '얼떨결', '십분', '더', '말주변', '많다', '마무리', '즐겁다', '역시', '커피', '사람', '착하다']
카페; 연희동 더니커피(dawny coffee)	['한적하다', '동네', '연희동', '카페', '하나', '둘', '시작', '어느덧다', '카페', '동네', '커피', '좋아하다', '입장', '다양하다', '카페', '방문', '수', '있다', '좋다', '넉', '연희동', '아쉬움', '변하다', '연희동', '시간', '뿌리', '있다', '더니', '커피', '외관', '다음', '같다', '하얗다', '외관', '우드', '톤', '깔끔하다', '있다', '일본', '작다', '카페', '연상', '바', '자리', '테이블', '개', '외부', '테이블', '개', '구성', '라마르', '꼬', '리', '니아', '디팅', '디팅', '하이엔드', '머신', '구비', '있다', '그', '자체', '로서', '인테리어', '있다', '워낙', '필터', '기본', '메뉴판', '걸', '사실', '맛있다', '거짓말', '아니다', '진짜', '맛있다', '더니', '커피', '필터', '커피', '말', '필요없다', '흔하다', '신', '맛', '걸', '싫어하다', '다해', '꼭', '그', '동안', '잘못', '커피', '인하다', '신', '맛', '생각', '그', '맛', '여지', '껏', '잘못', '인식', '생각', '오늘', '커피', '적', '포도', '와인', '건', '과일', '초콜렛', '블루베리', '를', '선택', '따뜻하다', '여름', '따뜻하다', '따뜻하다', '온도', '맛', '변하다', '걸', '수가', '있다', '때문', '따뜻하다', '열', '커피잔', '서버', '제공', '원하다', '단', '맛', '있다', '적포도주', '기분', '기분', '좋다', '어느새다', '잔', '위', '따뜻하다', '이', '곳', '아이스', '충분하다', '향', '미가', '마시기', '멜론', '파인애플', '키위', '장미', '자두', '사탕', '달달', '콤', '파인애플', '장미', '뭔가', '장미', '향', '날', '것', '같다', '생각', '실제', '장미', '향', '연하다', '맛있다', '더', '하루', '수', '있다', '양', '한정', '있다', '때문', '두', '잔', '아쉬움', '원두', '포장', '곰', '검정색', '포', '메라', '이안', '말', '필요없다', '귀엽다', '그간', '곰', '사진', '몇장', '공유', '얘', '보', '우리', '집', '강아지', '끝', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약', '더니', '커피', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '더니', '커피', '님', '사진', '및', '동영상', '보기']
연희동 핸드드립이 맛있는 카페 더니커피. 갱얼쥐 귀여움	['연희동', '알', '사람', '감성', '카페', '더니', '커피', '학교', '멀다', '서도', '가깝다', '시도', '꽤', '졸업', '년', '사진', '그림', '찾기', '움', '감시', '있다', '위치', '지도', '표시', '곳', '살짝', '달라', '위치', '표시', '곳', '다른', '카페', '있다', '그', '거리', '왼쪽', '쪼마', '갱얼쥐', '너', '문틈', '있다', '어떻다', '연희동', '최강', '귀요미', '쪼마난', '겁', '많다', '서도', '호기심', '많다', '더니', '커피', '매장', '바', '테이블', '좌석', '있다', '테이블', '개입', '니', '더니', '커피', '메뉴판', '메뉴판', '이다', '커피', '종류', '단조롭다', '편이', '커피', '자체', '맛', '집중', '뜻', '핸드', '드립', '커피', '유명하다', '게이샤', '원두', '선택', '넓다', '왜', '게', '샤인', '검색', '임의', '발음', '편하다', '요', '게샤', '저', '밤', '디카', '페인', '주문', '평일', '그렇다', '강아지', '사장', '없다', '조금', '있다', '팀', '단골', '것', '같다', '연희동', '더니', '커피', '부드럽다', '우드', '화이트', '조합', '카페', '심플', '미니', '멀다', '인테리어', '편안하다', '느낌', '이', '갱얼', '제', '발밑', '귀엽다', '손', '편하다', '등', '너', '자식', '콜롬비아', '디카', '페인', '응', '역시', '맛있다', '자두', '초콜릿', '카라멜', '노트', '더니', '적절하다', '산미', '고소하다', '있다', '맛있다', '커피', '커피', '맛집', '인정', '사장', '뭔가', '커피', '아시', '것', '같다', '다음', '번', '낮', '게이샤', '카페인', '충전', '돈', '산', '후기', '이다', '연희동', '핸드', '드립', '커피', '맛있다', '더니', '커피', '재생', '좋다', '접기', '갱얼쥐', '있다', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약']
카페: 연희동: 귀여운 강아지와 좋은 커피 향으로 가득차 있는 더니커피(dawnycoffee)	['연남동', '위치', '더니', '커피', '다양하다', '스페셜', '티', '소개', '마이크로', '로스', '터리', '커피숍', '소개', '있다', '이', '전', '후지', '로얄', '로스', '터기', '매장', '내', '조그만', '로스팅', '최근', '프로', '로스', '터', '장만', '창고', '로스팅', '있다', '원두', '납품', '있다', '장황하다', '설명', '이유', '단', '하나', '연희동', '뿐', '아니다', '내', '방문', '카페', '중', '커피', '가장', '맛있다', '곳', '이기', '때문', '이', '곳', '스페셜', '티', '접', '커피', '다양하다', '노트', '그렇다', '문득', '정신', '커피', '공부', '집', '홈', '카페', '집', '필터', '커피', '있다', '설', '더니', '커피', '연희동', '위치', '골목', '골목', '구경', '발견', '수', '있다', '것', '화', '목', '금', '토', '일', '층', '주차', '불가', '근처', '주차장', '마트', '주차장', '이용', '반려동물', '동반', '가능', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약', '더니', '커피', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '더니', '커피', '님', '사진', '및', '동영상', '보기', '더니', '커피', '네이버', '쇼핑', '스마트', '스토어', '다양하다', '스페셜', '티', '커피', '소개', '마이크로', '로스', '터리', '가게', '외관', '이러하다', '간판', '없다', '네이버', '지도', '좋다', '것', '같다', '생각', '찾기', '전체', '일본', '위치', '카페', '같다', '메뉴판', '깜빡', '필터', '어느새다', '메뉴판', '걸', '말차', '크림', '맛있다', '디저트', '사장', '직접', '퀄리티', '꽤', '좋다', '그냥', '모든', '메뉴', '맛있다', '그', '날', '라인업', '화려하다', '게이샤', '많다', '과일', '향', '원두', '다양하다', '준비', '있다', '이', '날', '선택', '원두', '적', '포도', '와인', '건', '과일', '초콜렛', '블루베리', '인용', '서버', '따뜻하다', '보온', '잔', '제공', '이렇다', '세심', '함', '맛', '영향', '미치다', '대부분', '잔', '빈티', '일본', '잔', '향', '한번', '적포도주', '적', '포도', '단맛', '산미', '좋다', '커피', '한잔', '부족하다', '바', '자리', '자스민', '복숭아', '아카시아', '꿀', '살구', '게이샤', '한잔', '쟈스민', '향', '또', '맛있다', '또', '생각', '원두', '개', '이', '글', '시점', '없다', '내부', '다음', '같다', '바', '자리', '개', '인석', '개', '외부', '인석', '개', '이', '가게', '마스코트', '곰', '곰', '사람', '많다', '연희동', '위치', '작', '그', '누구', '강하다', '더니', '커피', '연희동', '일', '있다', '꼭', '방문', '좋다', '끝']
[연희동]더니커피, 맛좋은 갸또와 커피	['연희동', '내', '좋아하다', '카페', '중', '하나', '늘', '마음', '더니', '커피', '생각', '자주', '못', '간다', '그렇다', '나중', '주시', '대표', '자주', '죄송하다', '마음', '메뉴', '나', '뭐', '늘', '브루잉', '에쏘', '다른', '음료', '적', '없다', '크림', '음료', '인기', '많다', '것', '같다', '게이샤', '만', '일루', '시온', '갸또', '더니', '커피', '버전', '갸또', '좋아하다', '늘', '커피', '먼저', '갸또', '건', '괴롭다', '맘', '같다', '홀', '케익', '번', '주문', '보고', '왜', '부끄럽다', '만', '야들야들', '섬세하다', '고급', '진', '커피', '맛', '게이샤', '노트', '선명하다', '게이샤', '역시', '역다', '끄덕', '거리', '일루', '시온', '역시', '브루', '봉', '중', '손', '커피', '벌써', '내년', '마침', '집', '원두', '없다', '맛있다', '게이샤', '야호', '정말', '정말', '맛있다', '자주', '더니', '커피', '제공', '정보', '가공', '펄프', '드', '네추럴', '스토', '무', '산소', '발효', '노트', '자스민', '오렌지', '살구', '레몬', '꿀', '가공', '노트', '카라멜', '적', '포도', '배', '브라운슈가', '클린', '더니', '커피', '서울특별시', '서대문구', '연희', '길', '층', '예약']
