id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
1057800745,공부,776,공간,맥심플랜트,5455,1855,서울 용산구 이태원로 250
1179101547,공부,692,테이블,보닐라츄러스 한남점,633,1372,서울 용산구 이태원로54가길 12 1층
1394859265,공부,179,책,울프소셜클럽,378,38,서울 용산구 한남대로 158 1층 울프소셜클럽
1536033775,공부,132,테이블,한남 상석,305,143,서울 용산구 대사관로24길 9 1층 상석
1250468705,공부,53,공간,AVEK CHERI,295,284,"서울 용산구 이태원로 247 1,2층"
1621465172,공부,146,테이블,웻커피 한남,425,582,서울 용산구 한남대로27가길 10 지층
35965160,공부,35,공간,산수화티하우스,105,110,서울 용산구 한남대로20길 21-14
1458057356,공부,46,공간,베베르카,29,19,서울 용산구 이태원로45길 8 4층
1831692535,공부,222,공간,카라멜리에오,197,175,서울 용산구 이태원로54길 74 2층
1812695987,공부,13,테이블,아우어베이커리 한남나인원점,1808,358,서울 용산구 한남대로 91 B2층
733920762,공부,326,테이블,Summer Lane,1184,1756,서울 용산구 이태원로55가길 49 1층 summerlane
1587148898,공부,21,테이블,베지위켄드,22,29,"서울 용산구 한남대로 60 1층 디101, 디102호"
1017448283,공부,120,공간,컨큐어 한남,453,196,서울 용산구 한남대로27가길 23 컨큐어 한남
1978147429,공부,29,공간,% 아라비카 매거진 B 한남점,250,184,서울 용산구 대사관로 35 2층
37160963,공부,230,테이블,라페름,709,184,서울 용산구 대사관로11길 47 (대사관로 11길 49) 지하 1층
424208738,공부,166,공간,33apartment,195,538,서울 용산구 한남대로27길 33 1층
1007633030,공부,50,테이블,살리르,80,65,서울 용산구 이태원로54길 58-20 1층
1127705304,공부,18,공간,오베뉴한남,41,6,서울 용산구 한남대로20길 47-18 1층
32408413,공부,7,테이블,스타벅스 순천향입구점,4654,38,서울 용산구 대사관로 67
1129772162,공부,309,공간,로얄멜팅클럽,359,481,서울 용산구 이태원로42길 60
1026191970,공부,46,공간,생텀,16,32,서울 용산구 한남대로21길 20 한강리제일빌딩 1층
19882545,공부,144,테이블,팬케익 오리지널 스토리,409,32,서울 용산구 독서당로 67 서울빌딩 대로변1층
11690056,공부,7,책,파리바게뜨 한남점,2744,19,서울 용산구 대사관로 73
37196490,공부,11,공간,Take c,233,76,서울 용산구 대사관로12길 4-8
1220648111,공부,20,공간,모어딥,76,22,"서울 용산구 한남대로27길 36-61 . 4,5층(한남동, 단결빌딩)"
1313508436,공부,17,공간,인덱스카라멜 한남,18,3,서울 용산구 이태원로45길 8 3층
32745044,공부,6,공간,espresso core,185,44,서울 용산구 대사관로31길 7-6 1F
1542287249,공부,3,편하다,리메이크 캐러멜,21,15,서울 용산구 독서당로20길 9-13 1층
1656958791,공부,36,공간,MSMR,76,29,서울 용산구 대사관로11길 49 3층
1089116606,공부,7,테이블,카페드블루 블루스퀘어점,553,37,서울 용산구 한남동 727-35
1301962227,공부,38,공간,뮵,37,37,서울 용산구 한남대로27길 36-61 5F
38514063,공부,7,테이블,비원에프,141,17,서울 용산구 독서당로 25 1층 101호
1136109680,공부,6,공간,포멜로빈 현대카드 뮤직라이브러리점,78,11,서울 용산구 이태원로 246 1층
1690112488,공부,24,책,올모스트블루,77,11,서울 용산구 독서당로 46 1층 115호
37272143,공부,11,공간,스튜디오 콘크리트,87,650,서울 용산구 한남대로 162
1408514140,공부,2,공간,Cafe Artue,1,1,서울 용산구 대사관로34길 21 1층 Artue
1496880070,공부,28,테이블,슬링스톤,57,28,서울 용산구 한남대로27길 31 1층
1127729004,공부,5,편하다,이디야커피 IBK고객센터점,666,16,서울 용산구 한남대로 72 한남동 WM센터1층
1206775276,공부,17,공간,실로,20,3,서울 용산구 이태원로54길 58-18 2층(한남동)
1193630015,공부,16,공간,아메리칸트레일러 몽르베,14,9,서울 용산구 독서당로 89 103호
13389647,공부,1,테이블,쌀람베이커리,27,57,서울 용산구 우사단로10길 39 이슬람사원 1층
1258478813,공부,94,스터디,컴포즈커피 한남순천향점,235,2,서울 용산구 대사관로 64
1096865151,공부,31,공간,나인원카페,0,0,서울 용산구 우사단로10길 59 1층 카페 나인원
20268201,공부,1,공간,오늘은 열었을거야,26,36,서울 용산구 우사단로10길 42
1710561799,공부,36,테이블,아망뜨 한남,68,50,서울 용산구 이태원로55길 43-1 1층
1100276726,공부,7,테이블,cafe12pm,49,49,서울 용산구 독서당로 22 상가 1층 109호
1851359957,공부,32,공간,차차이테,1,1,서울 용산구 이태원로54길 74 3층
1346358468,공부,11,테이블,레빗홀,9,16,서울 용산구 신흥로 37 지하1층
1079753617,공부,3,공간,더룸,5,5,서울 용산구 한남대로42가길 4
21547232,공부,74,테이블,더베이커스테이블,2530,1590,서울 용산구 녹사평대로 244-1
822066102,공부,138,공간,플랜트,1088,891,서울 용산구 보광로 117 2층
1193666985,공부,11,테이블,르몽블랑,798,667,서울 용산구 신흥로 99-4 1층
1902632584,공부,29,공간,널담은공간 해방촌점,156,536,서울 용산구 신흥로15길 18-12
37455024,공부,4,공간,라비앙코코,104,133,서울 용산구 녹사평대로40길 51 1층
1920026064,공부,11,공부,웨스트빙고,448,160,서울 용산구 서빙고로51길 10 1층
73829640,공부,20,테이블,르시앙블랑,155,92,서울 용산구 신흥로2길 7 Sunny Hill
1701007422,공부,21,공간,비욘드문,173,334,서울 용산구 회나무로13길 14-10 1층 카페 비욘드문
