id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
1100009233,인스타그래머블,646,사진,한남베르그,1287,983,서울 용산구 이태원로54길 58-26 1층 한남베르그
37793452,인스타그래머블,627,사진,원인어밀리언,791,983,서울 용산구 이태원로54길 31
1745179227,인스타그래머블,21,사진,베베베 한남점,1010,821,서울 용산구 이태원로42길 46-12
1110133208,인스타그래머블,561,사진,오아시스 한남점,1089,1564,서울 용산구 이태원로45길 30
1151512048,인스타그래머블,116,팝업,콘디토리 오븐,151,74,서울 용산구 한남대로20길 13 1층 102호
1416109994,인스타그래머블,595,사진,아우프글렛 한남,115,521,서울 용산구 이태원로54가길 20 1층
727127299,인스타그래머블,63,사진,로우커피,428,662,서울 용산구 이태원로54길 26 로우커피한남
1195389026,인스타그래머블,165,사진,배스킨라빈스 하이브한남점,1235,358,서울 용산구 독서당로 93 (한남동) 1층
1552067110,인스타그래머블,206,사진,맥코이 한남,390,329,서울 용산구 한남대로27가길 34
1905748549,인스타그래머블,21,사진,르몽생미셸르카페,15,10,서울 용산구 이태원로55가길 21 B1
1952494114,인스타그래머블,41,예약,아틀리에폰드 한남,14,69,서울 용산구 이태원로 243 2층
1119648366,인스타그래머블,561,사진,앤더슨씨 나인원점,618,196,서울 용산구 한남대로 91
1990415920,인스타그래머블,68,사진,유포리아커피로스터스,216,126,서울 용산구 이태원로54길 58-3 1층
1211042040,인스타그래머블,109,사진,솔티밥,72,56,서울 용산구 한남대로27길 66
31390472,인스타그래머블,7,예약,키투오 커피 한남점,213,25,서울 용산구 대사관로34길 36
421667612,인스타그래머블,22,사진,팬케이크샵,322,325,서울 용산구 녹사평대로40다길 2 그린빌라트 3층 오른쪽 매장
1681935587,인스타그래머블,30,사진,업스탠딩,213,324,서울 용산구 신흥로 99-11
1813688325,인스타그래머블,19,사진,님부스커피,238,154,서울 용산구 녹사평대로26가길 19 1F
